2026-06-16 13:52:46,951 | INFO     | src.fetcher | Processing 1/1: AAA
2026-06-16 13:52:46,951 | INFO     | src.fetcher | AAA — loaded from cache
2026-06-16 13:52:46,972 | INFO     | src.fetcher | Processing 1/1: BBB
2026-06-16 13:52:46,974 | WARNING  | src.fetcher | BBB — EDGAR description failed: no network in tests
2026-06-16 13:52:46,974 | WARNING  | src.fetcher | BBB — ev_ebitda outlier (12000000.0), setting None
2026-06-16 13:52:46,977 | WARNING  | src.fetcher | CCC — attempt 1 failed: boom. Retrying...
2026-06-16 13:52:46,977 | WARNING  | src.fetcher | CCC — attempt 2 failed: boom. Retrying...
2026-06-16 13:52:46,979 | INFO     | src.fetcher | Processing 1/1: DDD
2026-06-16 13:52:46,979 | WARNING  | src.fetcher | DDD — attempt 1 failed: boom. Retrying...
2026-06-16 13:52:46,979 | WARNING  | src.fetcher | DDD — attempt 2 failed: boom. Retrying...
2026-06-16 13:52:46,979 | ERROR    | src.fetcher | DDD — failed after 3 retries: boom
2026-06-16 13:52:46,980 | WARNING  | src.fetcher | EEE — ev_ebitda outlier (150), setting None
2026-06-16 13:52:46,981 | WARNING  | src.fetcher | FFF — ev_ebitda outlier (-3), setting None
2026-06-16 13:53:10,155 | WARNING  | src.universe_builder | yfinance sector screener failed: yfinance sector 'industrials' returned no companies. Falling back to hardcoded list.
2026-06-16 13:53:10,156 | INFO     | src.universe_builder | Found 104 candidate tickers before filtering
2026-06-16 13:53:11,320 | WARNING  | src.universe_builder | MMM — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:12,315 | WARNING  | src.universe_builder | HON — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:13,303 | WARNING  | src.universe_builder | GE — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:14,276 | WARNING  | src.universe_builder | EMR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:15,123 | WARNING  | src.universe_builder | ITW — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:15,989 | WARNING  | src.universe_builder | PH — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:16,998 | WARNING  | src.universe_builder | ROK — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:17,996 | WARNING  | src.universe_builder | AME — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:18,905 | WARNING  | src.universe_builder | IEX — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:20,087 | WARNING  | src.universe_builder | GNRC — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:20,937 | WARNING  | src.universe_builder | SWK — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:21,936 | WARNING  | src.universe_builder | PNR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:23,101 | WARNING  | src.universe_builder | RRX — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:24,242 | WARNING  | src.universe_builder | XYL — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:25,156 | WARNING  | src.universe_builder | FELE — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:26,473 | WARNING  | src.universe_builder | TT — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:27,534 | WARNING  | src.universe_builder | IR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:28,617 | WARNING  | src.universe_builder | CARR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:29,658 | WARNING  | src.universe_builder | OTIS — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:31,401 | WARNING  | src.universe_builder | LMT — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:32,628 | WARNING  | src.universe_builder | RTX — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:33,510 | WARNING  | src.universe_builder | GD — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:34,772 | WARNING  | src.universe_builder | NOC — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:35,585 | WARNING  | src.universe_builder | LHX — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:36,693 | WARNING  | src.universe_builder | TDG — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:37,600 | WARNING  | src.universe_builder | HII — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:38,641 | WARNING  | src.universe_builder | MOG.A — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:39,565 | WARNING  | src.universe_builder | HEI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:40,651 | WARNING  | src.universe_builder | ESAB — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:41,443 | WARNING  | src.universe_builder | ITT — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
